,Year,War Name,War Type & Number
220,1877,Third British-Xhosa War of 1877-1878,Extra-State War #374
221,1878,Egypt-Sudanese Slavers War of 1878-1879,Extra-State War #375
222,1878,Russo-Turkoman War of 1878-1881,Extra-State War #376
223,1878,Austrian-Bosnian War of 1878,Extra-State War #377
224,1878,Second British-Afghan War of 1878-1880,Extra-State War #379
225,1879,Second British-Zulu War of 1879,Extra-State War #380
226,1879,War of the Pacific of 1879-1883,Inter-State War #64
227,1879,Argentine Indians War of 1879-1880,Intra-State War #608
228,1880,Fourth Buenos Aires War of 1880,Intra-State War #610
229,1880,Gun War of 1880-1881,Extra-State War #381
230,1880,First Boer War of 1880-1881,Extra-State War #382
231,1881,Franco-Tunisian War of 1881-1882,Extra-State War #383
232,1881,First British-Mahdi War of 1881-1885,Extra-State War #384
233,1882,Third Franco-Vietnamese War of 1882-1884,Extra-State War #385
234,1882,Conquest of Egypt of 1882,Inter-State War #65
235,1883,Haitian Civil War of 1883-1884,Intra-State War #611
236,1883,Second Zulu Internecine War of 1883-1884,Non-State War #1556
237,1883,First Franco-Madagascan War of 1883-1885,Extra-State War #386
238,1883,Oman-Ibadi War of 1883-1884,Non-State War #1557
239,1884,Sino-French War of 1884-1885,Inter-State War #67
240,1884,Second Australian Aboriginal War of 1884-1894,Non-State War #1558
241,1884,Fourth Colombian War of 1884-1885,Intra-State War #612
242,1885,Peru's National Problem of 1885,Intra-State War #613
243,1885,Second Central American War of 1885,Inter-State War #70
244,1885,Russo-Afgan War of 1885,Extra-State War #390
245,1885,Ethiopia-Mahdi War of 1885-1889,Non-State War #1559
246,1885,French Mandinka War of 1885-1886,Extra-State War #389
247,1885,Serbian-Bulgarian War of 1885,Extra-State War #391
248,1885,Third British-Burmese War of 1885-1889,Extra-State War #387
249,1887,First Italian-Ethiopian War of 1887,Extra-State War #392
250,1888,Zambezi Conquest of 1888,Extra-State War #393
251,1888,German East Africa Company War of 1888-1889,Non-State War #1560
252,1890,First Franco-Dahomeyan War of 1890,Extra-State War #394
253,1890,First Yemeni Rebellion of 1890-1892,Intra-State War #616
254,1890,Franco-Jolof War of 1890-1891,Extra-State War #395
255,1891,Second Chilean War of 1891,Intra-State War #617
256,1891,Zaili-Jinden Revolt of 1891,Intra-State War #618
257,1892,Second Franco-Dahomeyan War of 1892-1893,Extra-State War #396
258,1892,Belgian-TibWar of 1892-1894,Extra-State War #397
259,1893,Brazil Federalists War of 1893-1894,Intra-State War #620
260,1893,Rabih Zubayr-Bornu War of 1893,Non-State War #1561
261,1893,Brazil Naval War of 1893-1894,Intra-State War #621
262,1893,Third British-Ashanti War of 1893-1894,Extra-State War #398
263,1893,Melilla War of 1893-1894,Extra-State War #399
264,1893,Mahdist-Italian War of 1893-1894,Extra-State War #400
265,1894,Tonghak Rebellion of 1894,Intra-State War #623
266,1894,Second Franco-Madagascan War of 1894-1895,Extra-State War #401
267,1894,Second Dutch-Bali War of 1894,Extra-State War #402
268,1894,First Sino-Japanese War of 1894-1895,Inter-State War #73
269,1894,Third Peru War of 1894-1895,Intra-State War #625
270,1895,Fifth Colombian War of 1895,Intra-State War #626
271,1895,Portuguese-Gaza Empire War of 1895,Extra-State War #403
272,1895,Ecuador Liberals War of 1895,Intra-State War #627
273,1895,Second Spanish-Cuban War of 1895-1898,Extra-State War #404
274,1895,First Gansu Muslim War of 1895-1896,Intra-State War #628
275,1895,Japan-Taiwanese War of 1895,Extra-State War #405
276,1895,Mazrui Rebellion of 1895-1896,Extra-State War #406
277,1895,Druze-Turkish War of 1895-1896,Intra-State War #630
278,1895,Second Italian-Ethiopian War of 1895-1896,Extra-State War #407
279,1896,Second Cretan War of 1896-1897,Intra-State War #631
280,1896,Second Second British-Mahdi War of 1896-1899,Extra-State War #409
281,1896,Spanish-Philippine War of 1896-1898,Extra-State War #410
282,1896,Third Brazil-Canudos War of 1896-1897,Intra-State War #632
283,1897,British-South Nigerian War of 1897,Extra-State War #411
284,1897,Greco-Turkish War of 1897,Inter-State War #76
285,1897,British-Pathan War of 1897-1898,Extra-State War #412
286,1898,Hut Tax War of 1898,Extra-State War #413
287,1898,Spanish-American War of 1898,Inter-State War #79
288,1899,American-Philippine War of 1899-1902,Extra-State War #414
289,1899,Fourth Venezuelan War of 1899,Intra-State War #633
290,1899,French Conquest of Chad of 1899-1900,Extra-State War #415
291,1899,Second Yaqui War of 1899-1900,Intra-State War #635
292,1899,Second Boer War of 1899-1902,Extra-State War #416
293,1899,"Sixth Colombian (War of the 1,000 Days) of 1899-1902",Intra-State War #63
294,1900,Last Ashanti War of 1900,Extra-State War #417
295,1900,Boxer Rebellion of 1900,Inter-State War #82
296,1900,Sino-Russian War of 1900,Inter-State War #83
297,1901,Somali Rebellion of 1901-1904,Extra-State War #419
298,1901,Fifth Venezuelan War of 1901-1903,Intra-State War #638
299,1902,Bailundu Revolt of 1902-1903,Extra-State War #420
300,1902,Kuanhama Rebellion of 1902-1904,Extra-State War #421
301,1903,British Conquest of Kano and Sokoto of 1903,Extra-State War #422
302,1903,Ilinden War of 1903,Intra-State War #640
303,1904,First Uruguay War of 1904,Intra-State War #641
304,1904,South West African Revolt of 1904-1906,Extra-State War #423
305,1904,Russo-Japanese War of 1904-1905,Inter-State War #85
306,1904,Second Dutch-Achinese War of 1904-1907,Extra-State War #424
307,1904,Younghusband Expedition of 1904,Extra-State War #425
308,1904,Second Yemeni Rebellion of 1904-1906,Intra-State War #642
309,1905,Bloody Sunday War of 1905-1906,Intra-State War #643
310,1905,Maji-Maji Revolt of 1905-1906,Extra-State War #426
311,1906,Sokoto Uprising of 1906,Extra-State War #427
312,1906,Third British-Zulu War of 1906,Extra-State War #429
313,1906,Third Central American War of 1906,Inter-State War #88
314,1907,Fourth Central American War of 1907,Inter-State War #91
315,1907,Romanian Peasant Revolt of 1907,Intra-State War #645
316,1907,Dembos War of 1907-1910,Extra-State War #430
317,1907,Anti-Foreign Revolt of 1907-1910,Extra-State War #431
318,1907,Japan-Korean Guerrillas War of 1907-1910,Extra-State War #432
319,1907,Overthrow of Abd el-Aziz of 1907-1908,Intra-State War #646
320,1908,Iranian Constitution War of 1908-1909,Intra-State War #647
321,1909,Young Turks Counter-coup of 1909,Intra-State War #648
322,1909,French Conquest of Wadai of 1909-1911,Extra-State War #433
323,1909,Second Spanish-Moroccan War of 1909-1910,Inter-State War #94
324,1910,Second Albanian Revolt of 1910-1912,Intra-State War #650
325,1910,Asir-Yemen Revolt of 1910-1911,Intra-State War #651
326,1910,Third Mexican War of 1910-1914,Intra-State War #652
327,1911,Paraguay War of 1911-1912,Intra-State War #656
328,1911,Italian-Turkish War of 1911-1912,Inter-State War #97
329,1911,First Nationalists War of 1911,Intra-State War #657
330,1912,French-Berber War of 1912,Extra-State War #434
331,1912,First Sino-Tibetan War of 1912-1913,Extra-State War #435
332,1912,Cuban Black Uprising of 1912,Intra-State War #658
333,1912,Ecuadorian Civil War of 1912-1914,Intra-State War #670
334,1912,First Balkan War of 1912-1913,Inter-State War #100
335,1913,Moroccan-Berber War of 1913-1915,Extra-State War #436
336,1913,Moro Rebellion of 1913,Extra-State War #437
337,1913,Second Balkan War of 1913,Inter-State War #103
338,1913,Second Nationalists War of 1913,Intra-State War #671
339,1914,China Pai Ling (White Wolf) War of 1914,Intra-State War #672
340,1914,World War I of 1914-1918,Inter-State War #106
341,1914,Fourth Mexican War of 1914-1920,Intra-State War #673
342,1916,Southern China Revolt of 1916-1918,Intra-State War #675
343,1916,Russia-Turkestan War of 1916-1917,Intra-State War #676
