dyad,statelno,statelab,statehno,statehab,year,land,sea,total,version
2042,2,"USA",42,"DOM",1976,0,2,2,3.1
2042,2,"USA",42,"DOM",1977,0,2,2,3.1
2042,2,"USA",42,"DOM",1978,0,2,2,3.1
2042,2,"USA",42,"DOM",1979,0,2,2,3.1
2042,2,"USA",42,"DOM",1980,0,2,2,3.1
2042,2,"USA",42,"DOM",1981,0,2,2,3.1
2042,2,"USA",42,"DOM",1982,0,2,2,3.1
2042,2,"USA",42,"DOM",1983,0,2,2,3.1
2042,2,"USA",42,"DOM",1984,0,2,2,3.1
2042,2,"USA",42,"DOM",1985,0,2,2,3.1
2042,2,"USA",42,"DOM",1986,0,2,2,3.1
2042,2,"USA",42,"DOM",1987,0,2,2,3.1
2042,2,"USA",42,"DOM",1988,0,2,2,3.1
2042,2,"USA",42,"DOM",1989,0,2,2,3.1
2042,2,"USA",42,"DOM",1990,0,2,2,3.1
2042,2,"USA",42,"DOM",1991,0,2,2,3.1
2042,2,"USA",42,"DOM",1992,0,2,2,3.1
2042,2,"USA",42,"DOM",1993,0,2,2,3.1
2042,2,"USA",42,"DOM",1994,0,2,2,3.1
2042,2,"USA",42,"DOM",1995,0,2,2,3.1
2042,2,"USA",42,"DOM",1996,0,2,2,3.1
2042,2,"USA",42,"DOM",1997,0,2,2,3.1
2042,2,"USA",42,"DOM",1998,0,2,2,3.1
2042,2,"USA",42,"DOM",1999,0,2,2,3.1
2042,2,"USA",42,"DOM",2000,0,2,2,3.1
2042,2,"USA",42,"DOM",2001,0,2,2,3.1
2042,2,"USA",42,"DOM",2002,0,2,2,3.1
2042,2,"USA",42,"DOM",2003,0,2,2,3.1
2042,2,"USA",42,"DOM",2004,0,2,2,3.1
2042,2,"USA",42,"DOM",2005,0,2,2,3.1
2042,2,"USA",42,"DOM",2006,0,2,2,3.1
2042,2,"USA",42,"DOM",2007,0,2,2,3.1
2042,2,"USA",42,"DOM",2008,0,2,2,3.1
2042,2,"USA",42,"DOM",2009,0,2,2,3.1
2042,2,"USA",42,"DOM",2010,0,2,2,3.1
2042,2,"USA",42,"DOM",2011,0,2,2,3.1
2042,2,"USA",42,"DOM",2012,0,2,2,3.1
2042,2,"USA",42,"DOM",2013,0,2,2,3.1
2042,2,"USA",42,"DOM",2014,0,2,2,3.1
2042,2,"USA",42,"DOM",2015,0,2,2,3.1
2042,2,"USA",42,"DOM",2016,0,2,2,3.1
2051,2,"USA",51,"JAM",1962,0,2,2,3.1
2051,2,"USA",51,"JAM",1963,0,2,2,3.1
2051,2,"USA",51,"JAM",1964,0,2,2,3.1
2051,2,"USA",51,"JAM",1965,0,2,2,3.1
2051,2,"USA",51,"JAM",1966,0,2,2,3.1
2051,2,"USA",51,"JAM",1967,0,2,2,3.1
2051,2,"USA",51,"JAM",1968,0,2,2,3.1
2051,2,"USA",51,"JAM",1969,0,2,2,3.1
2051,2,"USA",51,"JAM",1970,0,2,2,3.1
2051,2,"USA",51,"JAM",1971,0,2,2,3.1
2051,2,"USA",51,"JAM",1972,0,1,1,3.1
2051,2,"USA",51,"JAM",1973,0,1,1,3.1
2051,2,"USA",51,"JAM",1974,0,1,1,3.1
2051,2,"USA",51,"JAM",1975,0,1,1,3.1
2051,2,"USA",51,"JAM",1976,0,1,1,3.1
2051,2,"USA",51,"JAM",1977,0,1,1,3.1
2051,2,"USA",51,"JAM",1978,0,1,1,3.1
2051,2,"USA",51,"JAM",1979,0,1,1,3.1
2051,2,"USA",51,"JAM",1980,0,1,1,3.1
2051,2,"USA",51,"JAM",1981,0,1,1,3.1
2051,2,"USA",51,"JAM",1982,0,1,1,3.1
2051,2,"USA",51,"JAM",1983,0,1,1,3.1
2051,2,"USA",51,"JAM",1984,0,1,1,3.1
2051,2,"USA",51,"JAM",1985,0,1,1,3.1
2051,2,"USA",51,"JAM",1986,0,1,1,3.1
2051,2,"USA",51,"JAM",1987,0,1,1,3.1
2051,2,"USA",51,"JAM",1988,0,1,1,3.1
2051,2,"USA",51,"JAM",1989,0,1,1,3.1
2051,2,"USA",51,"JAM",1990,0,1,1,3.1
2051,2,"USA",51,"JAM",1991,0,1,1,3.1
2051,2,"USA",51,"JAM",1992,0,1,1,3.1
2051,2,"USA",51,"JAM",1993,0,1,1,3.1
2051,2,"USA",51,"JAM",1994,0,1,1,3.1
2051,2,"USA",51,"JAM",1995,0,1,1,3.1
2051,2,"USA",51,"JAM",1996,0,1,1,3.1
2051,2,"USA",51,"JAM",1997,0,1,1,3.1
2051,2,"USA",51,"JAM",1998,0,1,1,3.1
2051,2,"USA",51,"JAM",1999,0,1,1,3.1
2051,2,"USA",51,"JAM",2000,0,1,1,3.1
2051,2,"USA",51,"JAM",2001,0,1,1,3.1
2051,2,"USA",51,"JAM",2002,0,1,1,3.1
2051,2,"USA",51,"JAM",2003,0,1,1,3.1
2051,2,"USA",51,"JAM",2004,0,1,1,3.1
2051,2,"USA",51,"JAM",2005,0,1,1,3.1
2051,2,"USA",51,"JAM",2006,0,1,1,3.1
2051,2,"USA",51,"JAM",2007,0,1,1,3.1
2051,2,"USA",51,"JAM",2008,0,1,1,3.1
2051,2,"USA",51,"JAM",2009,0,1,1,3.1
2051,2,"USA",51,"JAM",2010,0,1,1,3.1
2051,2,"USA",51,"JAM",2011,0,1,1,3.1
2051,2,"USA",51,"JAM",2012,0,1,1,3.1
2051,2,"USA",51,"JAM",2013,0,1,1,3.1
2051,2,"USA",51,"JAM",2014,0,1,1,3.1
2051,2,"USA",51,"JAM",2015,0,1,1,3.1
2051,2,"USA",51,"JAM",2016,0,1,1,3.1
2054,2,"USA",54,"DMA",1978,0,2,2,3.1
2054,2,"USA",54,"DMA",1979,0,2,2,3.1
2054,2,"USA",54,"DMA",1980,0,2,2,3.1
2054,2,"USA",54,"DMA",1981,0,2,2,3.1
2054,2,"USA",54,"DMA",1982,0,2,2,3.1
2054,2,"USA",54,"DMA",1983,0,2,2,3.1
2054,2,"USA",54,"DMA",1984,0,2,2,3.1
2054,2,"USA",54,"DMA",1985,0,2,2,3.1
2054,2,"USA",54,"DMA",1986,0,2,2,3.1
2054,2,"USA",54,"DMA",1987,0,2,2,3.1
2054,2,"USA",54,"DMA",1988,0,2,2,3.1
